,count,mean,std,min,25%,50%,75%,max
Cabin_B18,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B19,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B20,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B22,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B28,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B3,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B30,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B35,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B37,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B38,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B39,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B4,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B41,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B42,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B49,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B5,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B50,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B51 B53 B55,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B57 B59 B63 B66,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B58 B60,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B69,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B71,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B73,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B77,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_B78,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B79,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B80,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B82 B84,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B86,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B94,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_B96 B98,891.0,0.004489337822671156,0.06688950009731642,0.0,0.0,0.0,0.0,1.0
Cabin_C101,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C103,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C104,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C106,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C110,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C111,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C118,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C123,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C124,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C125,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C126,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C128,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C148,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C2,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C22 C26,891.0,0.003367003367003367,0.057960651025521066,0.0,0.0,0.0,0.0,1.0
Cabin_C23 C25 C27,891.0,0.004489337822671156,0.06688950009731642,0.0,0.0,0.0,0.0,1.0
Cabin_C30,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C32,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C45,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C46,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C47,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C49,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C50,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C52,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C54,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C62 C64,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C65,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C68,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C7,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C70,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C78,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C82,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C83,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C85,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C86,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C87,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C90,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C91,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C92,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C93,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_C95,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_C99,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D,891.0,0.003367003367003367,0.057960651025521066,0.0,0.0,0.0,0.0,1.0
Cabin_D10 D12,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D11,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D15,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D17,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D19,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D20,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D21,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D26,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D28,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D30,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D33,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D35,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D36,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_D37,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D45,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D46,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D47,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D48,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D49,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D50,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D56,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D6,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D7,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_D9,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E10,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E101,891.0,0.003367003367003367,0.057960651025521066,0.0,0.0,0.0,0.0,1.0
Cabin_E12,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E121,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E17,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E24,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E25,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E31,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E33,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E34,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E36,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E38,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E40,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E44,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E46,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E49,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E50,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E58,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E63,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E67,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_E68,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E77,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_E8,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_F E69,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_F G63,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_F G73,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_F2,891.0,0.003367003367003367,0.057960651025521066,0.0,0.0,0.0,0.0,1.0
Cabin_F33,891.0,0.003367003367003367,0.057960651025521066,0.0,0.0,0.0,0.0,1.0
Cabin_F38,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Cabin_F4,891.0,0.002244668911335578,0.047351312668554406,0.0,0.0,0.0,0.0,1.0
Cabin_G6,891.0,0.004489337822671156,0.06688950009731642,0.0,0.0,0.0,0.0,1.0
Cabin_Null,891.0,0.7710437710437711,0.420396989069881,0.0,1.0,1.0,1.0,1.0
Cabin_T,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
Embarked_C,891.0,0.18967452300785634,0.3922636776737093,0.0,0.0,0.0,0.0,1.0
Embarked_Q,891.0,0.08754208754208755,0.28278652998552684,0.0,0.0,0.0,0.0,1.0
Embarked_S,891.0,0.7227833894500562,0.44787575674129604,0.0,0.0,1.0,1.0,1.0
salut_Master,891.0,0.04489337822671156,0.20718624545180953,0.0,0.0,0.0,0.0,1.0
salut_Miss,891.0,0.20763187429854096,0.4058395421766138,0.0,0.0,0.0,0.0,1.0
salut_Mr,891.0,0.5959595959595959,0.4909809654946298,0.0,0.0,1.0,1.0,1.0
salut_Mrs,891.0,0.15151515151515152,0.3587516660814847,0.0,0.0,0.0,0.0,1.0
Deck_A,891.0,0.016835016835016835,0.128725274695676,0.0,0.0,0.0,0.0,1.0
Deck_B,891.0,0.052749719416386086,0.22365895784447914,0.0,0.0,0.0,0.0,1.0
Deck_C,891.0,0.06621773288439955,0.24880196935485535,0.0,0.0,0.0,0.0,1.0
Deck_D,891.0,0.037037037037037035,0.188958641743737,0.0,0.0,0.0,0.0,1.0
Deck_E,891.0,0.037037037037037035,0.188958641743737,0.0,0.0,0.0,0.0,1.0
Deck_F,891.0,0.013468013468013467,0.1153323669859792,0.0,0.0,0.0,0.0,1.0
Deck_G,891.0,0.004489337822671156,0.06688950009731642,0.0,0.0,0.0,0.0,1.0
Deck_Null,891.0,0.7710437710437711,0.420396989069881,0.0,1.0,1.0,1.0,1.0
Deck_T,891.0,0.001122334455667789,0.033501260508640406,0.0,0.0,0.0,0.0,1.0
